day,rain,temp,humi,wind
20230401,0.0,18.366666666666667,35.208333333333336,2.4166666666666665
20230402,0.0,18.60833333333333,28.75,2.2916666666666665
20230403,0.0,20.05833320833333,23.875,2.254166666666667
20230404,1.4666666666666668,16.120833333333334,66.125,3.4333333333333336
20230405,0.9333333333333336,10.6125,96.875,2.6625
20230406,0.0958333333333333,7.875,93.58333333333331,2.1333333333333333
20230407,0.0,8.291666666666666,55.5,3.345833333333333
20230408,0.0,9.0375,53.625,2.9375
20230409,0.0,11.508333291666666,55.875,2.3541666666666665
20230410,0.0,15.354166791666666,48.458333333333336,3.395833333333333
20230411,0.1208333333333333,10.229166625,72.54166666666667,2.85
20230412,0.0,10.170833333333333,50.04166666666666,2.9458333333333333
20230413,0.0,11.400000083333332,39.391304347826086,1.4956521739130435
20230414,0.0,16.554166791666667,65.29166666666667,1.7347826086956522
20230415,0.1916666666666666,11.295833333333334,85.41666666666667,2.395833333333333
20230416,0.0,10.908333333333331,69.70833333333333,2.1083333333333334
20230417,0.0375,14.774999916666667,53.833333333333336,2.779166666666667
20230418,0.0249999999999999,13.966666791666666,85.41666666666667,2.4375
20230419,0.0208333333333333,19.895833416666665,67.91666666666667,2.725
20230420,0.0,14.883333291666666,88.625,2.125
20230421,0.0,16.775000083333335,28.625,2.833333333333333
20230422,0.0,16.566666583333333,27.666666666666668,2.2125
20230423,0.0,16.77500004166667,32.916666666666664,2.6416666666666666
20230424,0.0,14.912499875,44.458333333333336,2.1958333333333333
20230425,0.0166666666666666,10.466666666666669,78.125,2.5500000000000003
20230426,0.0,9.0875,71.95833333333333,2.395833333333333
20230427,0.0,14.175000041666664,58.125,1.675
20230428,0.8291666666666666,17.112499958333334,71.16666666666667,2.2958333333333334
20230429,0.2958333333333333,10.945833333333333,85.125,3.583333333333333
20230430,0.0041666666666666,13.287499958333331,72.95833333333333,2.908333333333333
20230501,0.0,14.649999833333332,46.04166666666666,2.4625
20230502,0.0,18.09583333333333,41.04166666666666,1.6875
20230503,0.0,20.199999791666663,61.91666666666666,2.3625000000000003
20230504,0.225,21.8,69.5,2.4833333333333334
20230505,2.4916666666666667,16.6125,98.375,3.825
20230506,0.5458333333333333,12.5375,68.625,4.295833333333333
20230507,0.0,13.54166675,54.54166666666666,1.9791666666666667
20230508,0.0,15.82083325,54.41666666666666,2.0416666666666665
20230509,0.0,17.141666625,56.458333333333336,2.5304347826086957
20230510,0.0,19.15833333333333,51.083333333333336,1.925
20230511,0.0,19.5,47.25,1.8666666666666665
20230512,0.0,18.199999875,57.04166666666666,1.9
20230513,0.0,17.866666625,57.875,1.9375
20230514,0.0,18.124999833333334,56.875,2.245833333333333
20230515,0.0,22.10416675,54.625,2.3916666666666666
20230516,0.0,24.39166670833333,53.16666666666666,2.466666666666667
20230517,0.0,23.416666666666668,68.58333333333333,3.158333333333333
20230518,0.0541666666666666,20.83750004166667,69.91666666666667,2.529166666666667
20230519,0.0,22.787499791666665,59.125,2.029166666666667
20230520,0.0083333333333333,19.9208335,74.58333333333333,3.4875000000000003
20230521,0.0,18.145833416666665,68.70833333333333,2.4208333333333334
20230522,0.0,20.250000083333333,53.04166666666666,2.1416666666666666
20230523,0.0,20.79166670833333,49.0,1.9833333333333332
20230524,0.0,20.862500125,48.91666666666666,2.1166666666666667
20230525,0.0208333333333333,20.933333333333334,50.625,2.583333333333333
20230526,0.0,22.158333541666668,58.208333333333336,1.9
20230527,1.9541666666666664,19.03749995833333,96.45833333333331,1.8916666666666664
20230528,1.2,19.49583375,98.91666666666669,1.6833333333333331
20230529,0.0,23.941666708333333,80.33333333333333,1.4958333333333331
20230530,0.0,23.399999833333336,61.66666666666666,2.670833333333333
20230531,0.0,22.99166658333333,62.66666666666666,2.120833333333333
20230601,0.0,22.03333345833333,70.41666666666667,2.1791666666666667
20230602,0.0,20.262499958333333,76.79166666666667,2.0541666666666667
20230603,0.0,21.812500125,61.333333333333336,2.7375000000000003
20230604,0.0,22.470833166666665,57.79166666666666,2.1416666666666666
20230605,0.0,21.20000008333333,68.25,2.895833333333333
20230606,0.0,20.70833333333333,72.125,2.920833333333333
20230607,0.0,21.341666625,76.95833333333333,2.004166666666667
20230608,0.1291666666666666,20.60833345833333,82.45833333333333,2.504166666666667
20230609,0.0,24.108333291666668,58.375,1.7458333333333331
20230610,1.375,21.854166916666667,77.54166666666667,2.5791666666666666
